"","VOCATIONAL_TRAINING","joblessness","poverty_in_community","concentrated_disadvantage","edu_completion","illegal_econ_activity","VOCATIONAL_TRAINING_percentile","joblessness_percentile","poverty_in_community_percentile","concentrated_disadvantage_percentile","edu_completion_percentile","illegal_econ_activity_percentile","VOCATIONAL_TRAINING_score"
"82",0.205006128413927,0.276694295971198,0.109179412217358,0.17595354116072,0.0188513067190596,0.0854768431049665,0.190082644628099,0.347107438016529,0.177685950413223,0.136363636363636,0.177685950413223,0.599173553719008,"10"
"83",0.361593301752101,0.34571287358217,0.202121293056388,0.318590121544249,0.126598465473146,0.0793399779526595,0.495867768595041,0.483471074380165,0.442148760330579,0.632231404958678,0.727272727272727,0.56198347107438,"40"
"84",0.299023180619574,0.343117416244341,0.149393048297345,0.343502514518903,0.0232660228270413,0.0507687619393774,0.37603305785124,0.479338842975207,0.276859504132231,0.698347107438017,0.206611570247934,0.326446280991736,"30"
"85",0.56363553047689,0.735991819813262,0.240839220434028,0.543113278331903,0.00178798340211634,0.0747540409037954,0.814049586776859,0.966942148760331,0.516528925619835,0.958677685950413,0.0909090909090909,0.533057851239669,"80"
"86",0.249568303309538,0.393103790522435,0.0983486109912307,0.225333710907872,0.0108282965863625,0.0541410218025331,0.272727272727273,0.570247933884298,0.148760330578512,0.305785123966942,0.12396694214876,0.351239669421488,"20"
"87",0.181950239806239,0.193513283774843,0.120957577575806,0.193615450674188,0.0461873638344227,0.0520717733123982,0.136363636363636,0.194214876033058,0.206611570247934,0.173553719008264,0.384297520661157,0.338842975206612,"10"
"88",0.456250498675982,0.531812171484289,0.194606650940354,0.486879660248057,0.0631422189128816,0.0414750126751564,0.65702479338843,0.818181818181818,0.429752066115702,0.913223140495868,0.495867768595041,0.268595041322314,"60"
"89",0.214633379026632,0.250158330309023,0.109138766347779,0.297521391106183,0.0205709849922374,0.0137402567332929,0.198347107438017,0.276859504132231,0.173553719008264,0.557851239669422,0.18595041322314,0.15702479338843,"10"
"90",0.40898615602866,0.405094376145571,0.323928573555315,0.404859836209258,0,0.0614231248987245,0.566115702479339,0.59504132231405,0.648760330578512,0.809917355371901,0,0.417355371900826,"50"
"91",0.0230764939226459,0.0681205616633142,0.0372085110954889,0.0255222679404597,0.0291790922497133,0.0341760195629423,0.012396694214876,0.0330578512396694,0.012396694214876,0.00413223140495868,0.247933884297521,0.235537190082645,"0"
"92",0.344885107725089,0.386933545298564,0.224210394965978,0.202215254436151,0.12600883080755,0.0896514948983484,0.471074380165289,0.553719008264463,0.495867768595041,0.202479338842975,0.723140495867769,0.640495867768595,"40"
